id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
58041,4,1.0,2,55,70,2400,0,1,2.913917701,75.0,t,1.0,100.0,1,72,97.0,Mitte,13.39090247,52.5277091,1,1,Real Bed,90,1,f,POINT (13.39090247014701 52.52770910110819)
58780,4,1.5,2,130,39,300,15,1,3.812957321,97.6097236,t,NaN,NaN,0,32,95.0,Pankow,13.42671167,52.53420467,0,1,Real Bed,5,1,f,POINT (13.4267116691889 52.53420466657789)
59249,4,1.0,1,90,50,300,20,2,4.252785,82.83185375,t,0.0,100.0,1,76,97.0,Pankow,13.40944881,52.54088868,0,1,Real Bed,5,0,f,POINT (13.4094488141574 52.54088868001604)
60161,10,1.5,2,120,50,200,25,2,21.80729018,104.6524438,t,NaN,NaN,1,7,100.0,Treptow - Köpenick,13.65275115,52.37827969,3,1,Real Bed,2,0,f,POINT (13.65275114923071 52.3782796904114)
63052,2,1.0,1,37,25,400,10,1,4.289876395,14.0,t,0.0,100.0,1,96,92.0,Neukölln,13.43454101,52.46892121,0,0,Real Bed,6,1,f,POINT (13.43454101420868 52.46892121357074)
64245,6,1.0,3,44,15,150,18,1,4.863771324,66.40901453,t,NaN,NaN,1,45,98.0,Pankow,13.40632947,52.54649889,0,0,Pull-out Sofa,3,1,f,POINT (13.40632947146751 52.54649888653129)
64590,4,1.0,2,102,30,200,25,2,1.598330194,72.0,t,NaN,NaN,1,34,100.0,Friedrichshain-Kreuzberg,13.42399149,52.49497033,0,1,Real Bed,2,1,f,POINT (13.42399149466184 52.49497032560065)
68142,2,1.0,1,29,15,85,15,1,4.165852649,51.97588193,t,2.0,90.0,0,70,96.0,Friedrichshain-Kreuzberg,13.45385735,52.52489353,0,0,Real Bed,2,1,f,POINT (13.45385734788565 52.5248935337621)
68448,4,1.0,0,84,0,200,10,2,5.28894432,68.46029698,t,NaN,NaN,1,220,90.0,Pankow,13.41595961,52.5497981,0,1,Real Bed,3,0,f,POINT (13.41595960886774 52.54979810330722)
72079,2,1.0,1,80,60,200,20,2,5.811090276,46.0,t,NaN,NaN,1,37,97.0,Charlottenburg-Wilm.,13.31870726,52.50780326,0,1,Real Bed,3,0,f,POINT (13.31870726104428 52.50780325949872)
73302,2,1.0,1,69,40,0,10,2,3.64976524,65.16331649,t,0.0,100.0,0,200,96.0,Tempelhof - Schöneberg,13.35032089,52.50105434,0,1,Real Bed,3,0,f,POINT (13.35032088990252 52.50105434389543)
74614,6,1.0,3,185,45,0,25,4,3.893871192,101.0,t,2.0,75.0,1,59,81.0,Pankow,13.40853552,52.53769513,0,1,Real Bed,4,1,f,POINT (13.40853552337319 52.5376951267311)
80843,2,1.0,1,49,30,250,10,1,8.105677261,56.81894494,t,NaN,NaN,0,69,98.0,Charlottenburg-Wilm.,13.28998186,52.48086413,0,1,Pull-out Sofa,2,0,f,POINT (13.28998185775034 52.48086412777901)
81049,5,1.0,2,155,60,300,25,2,2.30789006,108.0,t,0.0,100.0,1,39,99.0,Mitte,13.39067216,52.52183918,0,1,Real Bed,4,1,f,POINT (13.39067216046531 52.52183917807321)
81081,2,1.0,1,66,30,200,0,1,5.269292054,10.0,t,0.0,100.0,0,238,98.0,Pankow,13.41527791,52.54968096,0,1,Real Bed,3,0,f,POINT (13.41527791046659 52.5496809620105)
82893,2,1.0,1,70,30,0,0,1,3.555144329,40.0,t,1.0,100.0,1,71,91.0,Mitte,13.38284751,52.53199962,0,1,Real Bed,3,1,f,POINT (13.38284751386147 52.53199962450306)
83183,2,1.0,1,53,20,0,20,1,4.02197516,62.37288673,t,NaN,NaN,1,197,94.0,Pankow,13.42446883,52.53677323,0,1,Real Bed,2,1,f,POINT (13.42446883280099 52.5367732257693)
83568,3,2.0,1,70,30,0,20,2,4.783228573,85.0,t,1.0,100.0,1,2,100.0,Pankow,13.4189099,52.54484867,0,1,Real Bed,3,1,f,POINT (13.41890990479726 52.54484866792699)
83614,5,1.5,2,92,36,190,19,1,4.918550961,90.0,t,NaN,NaN,0,265,96.0,Pankow,13.41785749,52.54621994,0,1,Real Bed,1,0,f,POINT (13.41785749460535 52.54621993958732)
85560,2,1.0,1,75,30,0,0,1,3.551695678,15.0,t,1.0,100.0,1,47,92.0,Mitte,13.38229897,52.53181501,1,1,Real Bed,3,0,f,POINT (13.38229897370907 52.53181501425351)
86514,2,1.0,1,80,40,150,10,1,2.596191683,70.01854232,t,3.0,30.0,1,44,92.0,Friedrichshain-Kreuzberg,13.44177879,52.49820825,0,0,Real Bed,2,1,f,POINT (13.44177878800837 52.49820825407495)
87549,2,1.0,1,48,25,0,10,1,2.172386537,18.0,t,NaN,NaN,1,167,94.0,Friedrichshain-Kreuzberg,13.37397437,52.49615556,0,0,Real Bed,2,0,f,POINT (13.37397436971001 52.49615556002189)
